name,Date,Open,High,Low,Close,Volume
XLC,"Jan 16, 2024",73.50,73.74,73.14,73.39,73.39
XLC,"Jan 12, 2024",73.75,74.11,73.65,73.81,73.81
XLC,"Jan 11, 2024",74.00,74.01,72.81,73.45,73.45
XLC,"Jan 10, 2024",73.16,73.98,73.05,73.69,73.69
XLC,"Jan 09, 2024",72.81,73.26,72.67,73.01,73.01
XLC,"Jan 08, 2024",72.28,73.18,72.09,73.16,73.16
XLC,"Jan 05, 2024",71.80,72.45,71.74,72.04,72.04
XLC,"Jan 04, 2024",72.09,72.18,71.74,71.74,71.74
XLC,"Jan 03, 2024",72.07,72.52,71.88,71.98,71.98
XLC,"Jan 02, 2024",72.31,72.42,71.67,72.25,72.25
XLC,"Dec 29, 2023",72.95,73.05,72.37,72.66,72.66
XLC,"Dec 28, 2023",72.99,73.36,72.99,73.10,73.10
XLC,"Dec 27, 2023",72.90,73.03,72.64,72.90,72.90
XLC,"Dec 26, 2023",72.72,72.98,72.57,72.89,72.89
XLC,"Dec 22, 2023",72.75,73.10,72.27,72.61,72.61
XLC,"Dec 21, 2023",72.47,72.66,71.99,72.60,72.60
XLC,"Dec 20, 2023",72.51,73.26,71.88,71.89,71.89
XLC,"Dec 19, 2023",71.85,72.56,71.85,72.45,72.45
XLC,"Dec 18, 2023",71.00,72.05,71.00,71.72,71.72
XLC,"Dec 15, 2023",70.89,71.37,70.73,71.02,70.85
XLC,"Dec 14, 2023",71.12,71.54,70.58,71.20,71.03
XLC,"Dec 13, 2023",70.29,71.04,70.06,70.89,70.72
XLC,"Dec 12, 2023",69.86,70.23,69.57,70.23,70.06
XLC,"Dec 11, 2023",70.19,70.23,69.64,69.94,69.77
XLC,"Dec 08, 2023",69.56,70.66,69.56,70.48,70.31
XLC,"Dec 07, 2023",69.39,70.51,69.37,70.15,69.98
XLC,"Dec 06, 2023",69.30,69.37,68.63,68.71,68.54
XLC,"Dec 05, 2023",69.04,69.49,68.51,68.89,68.72
XLC,"Dec 04, 2023",69.00,69.30,68.75,69.21,69.04
XLC,"Dec 01, 2023",69.65,69.96,69.21,69.91,69.74
XLC,"Nov 30, 2023",70.18,70.38,69.18,69.77,69.60
XLC,"Nov 29, 2023",70.89,70.96,70.03,70.18,70.01
XLC,"Nov 28, 2023",70.37,70.72,70.16,70.69,70.52
XLC,"Nov 27, 2023",70.61,70.98,70.48,70.52,70.35
XLC,"Nov 24, 2023",71.11,71.23,70.76,70.96,70.79
XLC,"Nov 22, 2023",70.98,71.50,70.97,71.20,71.03
XLC,"Nov 21, 2023",70.71,70.81,70.40,70.62,70.45
XLC,"Nov 20, 2023",69.89,70.93,69.81,70.86,70.69
XLC,"Nov 17, 2023",69.91,70.09,69.66,70.07,69.90
XLC,"Nov 16, 2023",69.79,70.11,69.46,70.08,69.91
XLC,"Nov 15, 2023",69.84,69.91,69.40,69.77,69.60
XLC,"Nov 14, 2023",69.39,69.99,69.31,69.43,69.26
XLC,"Nov 13, 2023",68.16,68.60,67.97,68.32,68.15
XLC,"Nov 10, 2023",67.51,68.49,67.27,68.47,68.30
XLC,"Nov 09, 2023",67.78,68.08,67.23,67.40,67.23
XLC,"Nov 08, 2023",67.50,67.68,67.18,67.42,67.25
XLC,"Nov 07, 2023",67.48,68.00,67.33,67.74,67.57
XLC,"Nov 06, 2023",67.59,67.74,67.09,67.38,67.21
XLC,"Nov 03, 2023",67.08,67.78,67.06,67.56,67.39
XLC,"Nov 02, 2023",66.48,66.69,66.13,66.54,66.38
XLC,"Nov 01, 2023",64.70,65.71,64.63,65.67,65.51
XLC,"Oct 31, 2023",64.58,64.75,64.11,64.72,64.56
XLC,"Oct 30, 2023",63.64,64.68,63.59,64.39,64.23
XLC,"Oct 27, 2023",63.38,63.74,62.83,63.09,62.94
XLC,"Oct 26, 2023",63.83,64.04,62.82,63.32,63.16
XLC,"Oct 25, 2023",66.15,66.24,64.68,64.73,64.57
XLC,"Oct 24, 2023",67.54,68.04,67.19,67.66,67.49
XLC,"Oct 23, 2023",66.46,67.35,66.09,66.87,66.71
XLC,"Oct 20, 2023",67.22,67.47,66.47,66.52,66.36
XLC,"Oct 19, 2023",68.24,68.34,67.10,67.14,66.98
XLC,"Oct 18, 2023",68.06,68.41,67.08,67.21,67.05
XLC,"Oct 17, 2023",67.77,68.50,67.71,68.39,68.22
XLC,"Oct 16, 2023",67.57,68.25,67.43,68.15,67.98
XLC,"Oct 13, 2023",67.82,68.12,66.71,67.07,66.91
XLC,"Oct 12, 2023",68.74,68.78,67.51,67.83,67.66
XLC,"Oct 11, 2023",68.29,68.88,68.24,68.64,68.47
XLC,"Oct 10, 2023",67.72,68.43,67.65,68.02,67.85
XLC,"Oct 09, 2023",66.58,67.82,66.46,67.63,67.46
XLC,"Oct 06, 2023",65.26,67.03,65.17,66.91,66.75
XLC,"Oct 05, 2023",65.72,65.88,65.04,65.70,65.54
XLC,"Oct 04, 2023",65.12,65.93,64.93,65.79,65.63
XLC,"Oct 03, 2023",65.71,66.16,65.04,65.17,65.01
